LAIN	ANEMAT	SIEVIT	TOREG

Lobo Domesticado	D	4.4	Balada
Veinticinco Rosas	Am	2.4	Polka
Lo que más quiero	Eb	2.4	Norteña
Llorar	G	4.4	Bolero R
Como Tú Decidas	D	3.4	Ranchera
Me Gustas	F	4.4	Balada
El Perdedor	G	4.4	Balada
Eso y Más	A	4.4	Balada
Trono Caído	Bb	3.4	Ranchera
Que Sea	C	2.4	Norteña
Un Idiota	A	2.4	Balada
Secreto de Amor	Dm	4.4	Balada
Te Irá Mejor sin Mí	A	4.4	Balada
Hasta que Amanezca	F#m	2.4	Balada
Una Noche Más	Fm	4.4	Balada
Oiga	C	4.4	Balada
Alma de Niña	Em	2.4	Balada
Diséñame	C	4.4	Bolero R
Tatuajes	G	4.4	Bolero R
Celia	F	4.4	Bolero R
Adornadita con Canas	Gm	4.4	Balada
Envidia	G	4.4	Bolero
Tú y Yo	D	4.4	Huapango
Amantes Más Locos	B	4.4	Pop
Rumores	D	4.4	Pop
Traficante de Besos	G	4.4	Norteña
			
